,Benchmark,R,I,Dp,Ld,Nb
0,X-Bit,4,2,100,40.0,5
1,X-Bit,4,2,300,40.0,5
2,X-Bit,4,2,4000,40.0,5
3,X-Bit,4,2,50,40.0,5
4,X-Bit,1,1,195,35.0,5
5,X-Bit,1,1,196,35.0,5
6,X-Bit,1,1,197,35.0,5
7,X-Bit,1,1,198,35.0,5
8,X-Bit,1,1,199,35.0,5
9,X-Bit,1,1,200,35.0,5
10,X-Bit,1,1,201,35.0,5
11,X-Bit,1,1,202,35.0,5
12,X-Bit,1,1,203,35.0,5
13,X-Bit,1,1,204,35.0,5
14,X-Bit,1,1,205,35.0,5
15,X-Bit,1,1,195,36.0,5
16,X-Bit,1,1,196,36.0,5
17,X-Bit,1,1,197,36.0,5
18,X-Bit,1,1,198,36.0,5
19,X-Bit,1,1,199,36.0,5
20,X-Bit,1,1,200,36.0,5
21,X-Bit,1,1,201,36.0,5
22,X-Bit,1,1,202,36.0,5
23,X-Bit,1,1,203,36.0,5
24,X-Bit,1,1,204,36.0,5
25,X-Bit,1,1,205,36.0,5
26,X-Bit,1,1,195,37.0,5
27,X-Bit,1,1,196,37.0,5
28,X-Bit,1,1,197,37.0,5
29,X-Bit,1,1,198,37.0,5
30,X-Bit,1,1,199,37.0,5
31,X-Bit,1,1,200,37.0,5
32,X-Bit,1,1,201,37.0,5
33,X-Bit,1,1,202,37.0,5
34,X-Bit,1,1,203,37.0,5
35,X-Bit,1,1,204,37.0,5
36,X-Bit,1,1,205,37.0,5
37,X-Bit,1,1,195,38.0,5
38,X-Bit,1,1,196,38.0,5
39,X-Bit,1,1,197,38.0,5
40,X-Bit,1,1,198,38.0,5
41,X-Bit,1,1,199,38.0,5
42,X-Bit,1,1,200,38.0,5
43,X-Bit,1,1,201,38.0,5
44,X-Bit,1,1,202,38.0,5
45,X-Bit,1,1,203,38.0,5
46,X-Bit,1,1,204,38.0,5
47,X-Bit,1,1,205,38.0,5
48,X-Bit,1,1,195,39.0,5
49,X-Bit,1,1,196,39.0,5
50,X-Bit,1,1,197,39.0,5
51,X-Bit,1,1,198,39.0,5
52,X-Bit,1,1,199,39.0,5
53,X-Bit,1,1,200,39.0,5
54,X-Bit,1,1,201,39.0,5
55,X-Bit,1,1,202,39.0,5
56,X-Bit,1,1,203,39.0,5
57,X-Bit,1,1,204,39.0,5
58,X-Bit,1,1,205,39.0,5
59,X-Bit,1,1,195,40.0,5
60,X-Bit,1,1,196,40.0,5
61,X-Bit,1,1,197,40.0,5
62,X-Bit,1,1,198,40.0,5
63,X-Bit,1,1,199,40.0,5
64,X-Bit,1,1,200,40.0,5
65,X-Bit,1,1,201,40.0,5
66,X-Bit,1,1,202,40.0,5
67,X-Bit,1,1,203,40.0,5
68,X-Bit,1,1,204,40.0,5
69,X-Bit,1,1,205,40.0,5
70,X-Bit,1,1,195,41.0,5
71,X-Bit,1,1,196,41.0,5
72,X-Bit,1,1,197,41.0,5
73,X-Bit,1,1,198,41.0,5
74,X-Bit,1,1,199,41.0,5
75,X-Bit,1,1,200,41.0,5
76,X-Bit,1,1,201,41.0,5
77,X-Bit,1,1,202,41.0,5
78,X-Bit,1,1,203,41.0,5
79,X-Bit,1,1,204,41.0,5
80,X-Bit,1,1,205,41.0,5
81,X-Bit,1,1,195,42.0,5
82,X-Bit,1,1,196,42.0,5
83,X-Bit,1,1,197,42.0,5
84,X-Bit,1,1,198,42.0,5
85,X-Bit,1,1,199,42.0,5
86,X-Bit,1,1,200,42.0,5
87,X-Bit,1,1,201,42.0,5
88,X-Bit,1,1,202,42.0,5
89,X-Bit,1,1,203,42.0,5
90,X-Bit,1,1,204,42.0,5
91,X-Bit,1,1,205,42.0,5
92,X-Bit,1,1,195,43.0,5
93,X-Bit,1,1,196,43.0,5
94,X-Bit,1,1,197,43.0,5
95,X-Bit,1,1,198,43.0,5
96,X-Bit,1,1,199,43.0,5
97,X-Bit,1,1,200,43.0,5
98,X-Bit,1,1,201,43.0,5
99,X-Bit,1,1,202,43.0,5
100,X-Bit,1,1,203,43.0,5
101,X-Bit,1,1,204,43.0,5
102,X-Bit,1,1,205,43.0,5
103,X-Bit,1,1,195,44.0,5
104,X-Bit,1,1,196,44.0,5
105,X-Bit,1,1,197,44.0,5
106,X-Bit,1,1,198,44.0,5
107,X-Bit,1,1,199,44.0,5
108,X-Bit,1,1,200,44.0,5
109,X-Bit,1,1,201,44.0,5
110,X-Bit,1,1,202,44.0,5
111,X-Bit,1,1,203,44.0,5
112,X-Bit,1,1,204,44.0,5
113,X-Bit,1,1,205,44.0,5
114,X-Bit,1,1,195,45.0,5
115,X-Bit,1,1,196,45.0,5
116,X-Bit,1,1,197,45.0,5
117,X-Bit,1,1,198,45.0,5
118,X-Bit,1,1,199,45.0,5
119,X-Bit,1,1,200,45.0,5
120,X-Bit,1,1,201,45.0,5
121,X-Bit,1,1,202,45.0,5
122,X-Bit,1,1,203,45.0,5
123,X-Bit,1,1,204,45.0,5
124,X-Bit,1,1,205,45.0,5
125,X-Bit,1,2,195,35.0,5
126,X-Bit,1,2,196,35.0,5
127,X-Bit,1,2,197,35.0,5
128,X-Bit,1,2,198,35.0,5
129,X-Bit,1,2,199,35.0,5
130,X-Bit,1,2,200,35.0,5
131,X-Bit,1,2,201,35.0,5
132,X-Bit,1,2,202,35.0,5
133,X-Bit,1,2,203,35.0,5
134,X-Bit,1,2,204,35.0,5
135,X-Bit,1,2,205,35.0,5
136,X-Bit,1,2,195,36.0,5
137,X-Bit,1,2,196,36.0,5
138,X-Bit,1,2,197,36.0,5
139,X-Bit,1,2,198,36.0,5
140,X-Bit,1,2,199,36.0,5
141,X-Bit,1,2,200,36.0,5
142,X-Bit,1,2,201,36.0,5
143,X-Bit,1,2,202,36.0,5
144,X-Bit,1,2,203,36.0,5
145,X-Bit,1,2,204,36.0,5
146,X-Bit,1,2,205,36.0,5
147,X-Bit,1,2,195,37.0,5
148,X-Bit,1,2,196,37.0,5
149,X-Bit,1,2,197,37.0,5
150,X-Bit,1,2,198,37.0,5
151,X-Bit,1,2,199,37.0,5
152,X-Bit,1,2,200,37.0,5
153,X-Bit,1,2,201,37.0,5
154,X-Bit,1,2,202,37.0,5
155,X-Bit,1,2,203,37.0,5
156,X-Bit,1,2,204,37.0,5
157,X-Bit,1,2,205,37.0,5
158,X-Bit,1,2,195,38.0,5
159,X-Bit,1,2,196,38.0,5
160,X-Bit,1,2,197,38.0,5
161,X-Bit,1,2,198,38.0,5
162,X-Bit,1,2,199,38.0,5
163,X-Bit,1,2,200,38.0,5
164,X-Bit,1,2,201,38.0,5
165,X-Bit,1,2,202,38.0,5
166,X-Bit,1,2,203,38.0,5
167,X-Bit,1,2,204,38.0,5
168,X-Bit,1,2,205,38.0,5
169,X-Bit,1,2,195,39.0,5
170,X-Bit,1,2,196,39.0,5
171,X-Bit,1,2,197,39.0,5
172,X-Bit,1,2,198,39.0,5
173,X-Bit,1,2,199,39.0,5
174,X-Bit,1,2,200,39.0,5
175,X-Bit,1,2,201,39.0,5
176,X-Bit,1,2,202,39.0,5
177,X-Bit,1,2,203,39.0,5
178,X-Bit,1,2,204,39.0,5
179,X-Bit,1,2,205,39.0,5
180,X-Bit,1,2,195,40.0,5
181,X-Bit,1,2,196,40.0,5
182,X-Bit,1,2,197,40.0,5
183,X-Bit,1,2,198,40.0,5
184,X-Bit,1,2,199,40.0,5
185,X-Bit,1,2,200,40.0,5
186,X-Bit,1,2,201,40.0,5
187,X-Bit,1,2,202,40.0,5
188,X-Bit,1,2,203,40.0,5
189,X-Bit,1,2,204,40.0,5
190,X-Bit,1,2,205,40.0,5
191,X-Bit,1,2,195,41.0,5
192,X-Bit,1,2,196,41.0,5
193,X-Bit,1,2,197,41.0,5
194,X-Bit,1,2,198,41.0,5
195,X-Bit,1,2,199,41.0,5
196,X-Bit,1,2,200,41.0,5
197,X-Bit,1,2,201,41.0,5
198,X-Bit,1,2,202,41.0,5
199,X-Bit,1,2,203,41.0,5
200,X-Bit,1,2,204,41.0,5
201,X-Bit,1,2,205,41.0,5
202,X-Bit,1,2,195,42.0,5
203,X-Bit,1,2,196,42.0,5
204,X-Bit,1,2,197,42.0,5
205,X-Bit,1,2,198,42.0,5
206,X-Bit,1,2,199,42.0,5
207,X-Bit,1,2,200,42.0,5
208,X-Bit,1,2,201,42.0,5
209,X-Bit,1,2,202,42.0,5
210,X-Bit,1,2,203,42.0,5
211,X-Bit,1,2,204,42.0,5
212,X-Bit,1,2,205,42.0,5
213,X-Bit,1,2,195,43.0,5
214,X-Bit,1,2,196,43.0,5
215,X-Bit,1,2,197,43.0,5
216,X-Bit,1,2,198,43.0,5
217,X-Bit,1,2,199,43.0,5
218,X-Bit,1,2,200,43.0,5
219,X-Bit,1,2,201,43.0,5
220,X-Bit,1,2,202,43.0,5
221,X-Bit,1,2,203,43.0,5
222,X-Bit,1,2,204,43.0,5
223,X-Bit,1,2,205,43.0,5
224,X-Bit,1,2,195,44.0,5
225,X-Bit,1,2,196,44.0,5
226,X-Bit,1,2,197,44.0,5
227,X-Bit,1,2,198,44.0,5
228,X-Bit,1,2,199,44.0,5
229,X-Bit,1,2,200,44.0,5
230,X-Bit,1,2,201,44.0,5
231,X-Bit,1,2,202,44.0,5
232,X-Bit,1,2,203,44.0,5
233,X-Bit,1,2,204,44.0,5
234,X-Bit,1,2,205,44.0,5
235,X-Bit,1,2,195,45.0,5
236,X-Bit,1,2,196,45.0,5
237,X-Bit,1,2,197,45.0,5
238,X-Bit,1,2,198,45.0,5
239,X-Bit,1,2,199,45.0,5
240,X-Bit,1,2,200,45.0,5
241,X-Bit,1,2,201,45.0,5
242,X-Bit,1,2,202,45.0,5
243,X-Bit,1,2,203,45.0,5
244,X-Bit,1,2,204,45.0,5
245,X-Bit,1,2,205,45.0,5
246,X-Bit,1,2,190,40.0,5
247,X-Bit,1,2,191,40.0,5
248,X-Bit,1,2,192,40.0,5
249,X-Bit,1,2,193,40.0,5
250,X-Bit,1,2,194,40.0,5
251,X-Bit,1,2,206,40.0,5
252,X-Bit,1,2,207,40.0,5
253,X-Bit,1,2,208,40.0,5
254,X-Bit,1,2,209,40.0,5
255,X-Bit,4,2,190,40.0,5
256,X-Bit,4,2,191,40.0,5
257,X-Bit,4,2,192,40.0,5
258,X-Bit,4,2,193,40.0,5
259,X-Bit,4,2,194,40.0,5
260,X-Bit,4,2,195,40.0,5
261,X-Bit,4,2,196,40.0,5
262,X-Bit,4,2,197,40.0,5
263,X-Bit,4,2,198,40.0,5
264,X-Bit,4,2,199,40.0,5
265,X-Bit,4,2,200,40.0,5
266,X-Bit,4,2,201,40.0,5
267,X-Bit,4,2,202,40.0,5
268,X-Bit,4,2,203,40.0,5
269,X-Bit,4,2,204,40.0,5
270,X-Bit,4,2,205,40.0,5
271,X-Bit,4,2,206,40.0,5
272,X-Bit,4,2,207,40.0,5
273,X-Bit,4,2,208,40.0,5
274,X-Bit,4,2,209,40.0,5
275,X-Bit,4,1,200,40.0,5
276,X-Bit,4,3,200,40.0,5
277,X-Bit,4,4,200,40.0,5
278,X-Bit,1,2,200,30.0,5
279,X-Bit,1,2,200,31.0,5
280,X-Bit,1,2,200,32.0,5
281,X-Bit,1,2,200,33.0,5
282,X-Bit,1,2,200,34.0,5
283,X-Bit,1,2,200,46.0,5
284,X-Bit,1,2,200,47.0,5
285,X-Bit,1,2,200,48.0,5
286,X-Bit,1,2,200,49.0,5
287,X-Bit,1,2,200,7.0,5
288,X-Bit,1,2,200,8.0,5
289,X-Bit,1,2,200,9.0,5
290,X-Bit,1,2,200,10.0,5
291,X-Bit,1,2,200,11.0,5
292,X-Bit,1,2,200,12.0,5
293,X-Bit,1,2,200,13.0,5
294,X-Bit,1,2,200,14.0,5
295,X-Bit,1,2,200,15.0,5
296,X-Bit,1,2,200,16.0,5
297,X-Bit,1,2,200,17.0,5
298,X-Bit,1,2,200,18.0,5
299,X-Bit,1,2,200,19.0,5
300,X-Bit,1,2,200,20.0,5
301,X-Bit,1,2,200,21.0,5
302,X-Bit,1,2,200,22.0,5
303,X-Bit,1,2,200,23.0,5
304,X-Bit,1,2,200,24.0,5
305,X-Bit,1,2,200,25.0,5
306,X-Bit,1,2,200,26.0,5
307,X-Bit,1,2,200,27.0,5
308,X-Bit,1,2,200,28.0,5
309,X-Bit,1,2,200,29.0,5
310,X-Bit,8,2,200,40.0,5
311,X-Bit,8,4,200,40.0,5
312,X-Bit,2,2,200,40.0,5
313,X-Bit,3,2,200,40.0,5
314,X-Bit,4,2,200,40.0,3
315,X-Bit,4,2,200,40.0,6
316,X-Bit,4,2,200,37.5,5
317,X-Bit,4,2,200,37.75,5
318,X-Bit,4,2,200,38.0,5
319,X-Bit,4,2,200,38.25,5
320,X-Bit,4,2,200,38.5,5
321,X-Bit,4,2,200,38.75,5
322,X-Bit,4,2,200,39.0,5
323,X-Bit,4,2,200,39.25,5
324,X-Bit,4,2,200,39.5,5
325,X-Bit,4,2,200,39.75,5
326,X-Bit,4,2,200,40.25,5
327,X-Bit,4,2,200,40.5,5
328,X-Bit,4,2,200,40.75,5
329,X-Bit,4,2,200,41.0,5
330,X-Bit,4,2,200,41.25,5
331,X-Bit,4,2,200,41.5,5
332,X-Bit,4,2,200,41.75,5
333,X-Bit,4,2,200,42.0,5
334,X-Bit,4,2,200,42.25,5
335,X-Bit,4,2,200,40.0,4
336,X-Bit,4,2,200,40.0,8
337,X-Bit,4,2,200,40.0,7
338,X-Bit,4,3,200,37.5,5
339,X-Bit,4,3,200,37.75,5
340,X-Bit,4,3,200,38.0,5
341,X-Bit,4,3,200,38.25,5
342,X-Bit,4,3,200,38.5,5
343,X-Bit,4,3,200,38.75,5
344,X-Bit,4,3,200,39.0,5
345,X-Bit,4,3,200,39.25,5
346,X-Bit,4,3,200,39.5,5
347,X-Bit,4,3,200,39.75,5
348,X-Bit,4,3,200,40.25,5
349,X-Bit,4,3,200,40.5,5
350,X-Bit,4,3,200,40.75,5
351,X-Bit,3,2,200,54.66666666666666,5
352,X-Bit,3,2,200,55.0,5
353,X-Bit,3,2,200,55.333333333333336,5
354,X-Bit,3,2,200,55.66666666666666,5
355,X-Bit,3,2,200,56.0,5
356,X-Bit,3,2,200,56.333333333333336,5
357,X-Bit,5,2,200,40.0,5
